File,Operator,1st Choice School,Grade,N,N Hartford,N Suburban,School,Column
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,41,20,21,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,28,12,16,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,16,,,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,28,16,12,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,22,15,7,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,12,,,International Magnet School for Global Citizenship,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,118,34,84,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,16,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,11,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,15,,15,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,IO,15,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,,,,MLC Magnet for Global and International Studies,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,65,40,,Montessori Magnet (CREC),25
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,8,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,9,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,,,,Montessori Magnet (CREC),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,14,,,Montessori Magnet (CREC),14
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,81,42,,Museum Academy,39
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,21,9,,Museum Academy,12
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,39,19,,Museum Academy,20
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,17,8,,Museum Academy,9
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,14,6,,Museum Academy,8
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,6,,,Museum Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,9,,,Museum Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,10,,,Museum Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,13,,,Public Safety Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,9,64,25,,Public Safety Academy,39
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,10,16,,,Public Safety Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,11,15,7,,Public Safety Academy,8
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,12,,,,Public Safety Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK3,76,41,,Reggio Magnet School of the Arts,35
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,30,IO,,Reggio Magnet School of the Arts,20
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,75,32,,Reggio Magnet School of the Arts,43
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,36,15,,Reggio Magnet School of the Arts,21
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,23,,,Reggio Magnet School of the Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,12,,,Reggio Magnet School of the Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,25,18,,Reggio Magnet School of the Arts,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,20,,,Reggio Magnet School of the Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,6,287,101,,Two Rivers Magnet Middle,186
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,7,69,40,,Two Rivers Magnet Middle,29
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,8,28,7,,Two Rivers Magnet Middle,21
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PIO,44,9,,University of Hartford Magnet,35
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,PK4,7,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,K,60,27,,University of Hartford Magnet,33
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,1,12,,,University of Hartford Magnet,12
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,2,19,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,3,9,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,4,9,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,CREC,,5,7,,,University of Hartford Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,EHPS,,9,79,22,,Connecticut 1B Academy,57
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,EHPS,,IO,,,,Connecticut 1B Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,9,201,107,,Connecticut River Academy,94
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,IO,14,7,,Connecticut River Academy,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,11,,,,Connecticut River Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,PIO,38,13,25,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,PK4,26,12,14,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,K,17,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,1,6,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,2,,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,3,12,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,Goodwin,,4,13,,,Riverside Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,51,27,24,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK.4,15,9,6,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,70,23,47,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,53,15,38,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,54,27,27,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,29,9,20,Betances Early Reading Lab Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,93,31,62,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,32,,,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,53,,,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,83,11,72,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,52,,,Betances STEM Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,44,16,28,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,39,13,26,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,20,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,20,6,14,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,19,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,7,,7,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,7,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,21,9,12,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,13,7,6,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,,,,Breakthrough II Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,31,11,20,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK.4,,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,14,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,8,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,8,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,9,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,14,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,21,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,7,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,,,,"Breakthrough Magnet, South Campus",
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,38,19,,Capital Community College Magnet Academy,19
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,12,19,9,,Capital Community College Magnet Academy,10
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,19,,,Capital Prep -  Lower School Program,19
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,7,,,Capital Prep -  Lower School Program,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,10,,,Capital Prep -  Lower School Program,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,8,,,Capital Prep -  Lower School Program,8
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,,,,Capital Prep -  Lower School Program,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,7,,,Capital Prep -  Lower School Program,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,6,,,Capital Prep -  Lower School Program,6
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,13,7,,Capital Prep -  Lower School Program,6
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,34,15,,Capital Prep - Upper School Program,19
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,8,,,Capital Prep - Upper School Program,8
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,6,,,Capital Prep - Upper School Program,6
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,23,13,,Capital Prep - Upper School Program,10
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,10,17,10,,Capital Prep - Upper School Program,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,9,,,Capital Prep - Upper School Program,9
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,12,26,,,Capital Prep - Upper School Program,26
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,81,24,,Classical Magnet,57
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,60,,,Classical Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,13,,,Classical Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,20,,,Classical Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,10,21,15,,Classical Magnet,6
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,19,,,Classical Magnet,19
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,12,27,,,Classical Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,64,33,,Environmental Sciences @ Mary M. Hooker,31
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,19,12,,Environmental Sciences @ Mary M. Hooker,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,20,8,,Environmental Sciences @ Mary M. Hooker,12
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,9,,,Environmental Sciences @ Mary M. Hooker,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,7,7,,Environmental Sciences @ Mary M. Hooker,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,14,,,Environmental Sciences @ Mary M. Hooker,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,13,,,Environmental Sciences @ Mary M. Hooker,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,16,,,Environmental Sciences @ Mary M. Hooker,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,18,,,Environmental Sciences @ Mary M. Hooker,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,146,79,,Great Path Academy,67
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,10,33,15,,Great Path Academy,18
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,11,,,Great Path Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,171,83,,HMTCA- (Grades 6-12),88
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,42,26,,HMTCA- (Grades 6-12),16
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,21,,,HMTCA- (Grades 6-12),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,17,6,,HMTCA- (Grades 6-12),11
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,10,,,,HMTCA- (Grades 6-12),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,,,,HMTCA- (Grades 6-12),
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,71,24,,HMTCA,47
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,35,22,,HMTCA,13
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,7,,,HMTCA,7
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,102,47,,Hartford PreKindergarten Magnet,55
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,73,29,44,Hartford PreKindergarten Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,78,32,46,Montessori Magnet at Moylan,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,,,,Montessori Magnet at Moylan,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,13,,,Montessori Magnet at Moylan,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,,,,Montessori Magnet at Moylan,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,,,,Montessori Magnet at Moylan,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PIO,74,44,30,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,22,14,8,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,,,,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,,,,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,,,,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,,,,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,8,,,Montessori Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK3,56,17,39,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,22,9,13,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,48,14,34,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,14,,14,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,17,,,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,,,,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,,,,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,,,,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,15,,15,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,,,,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,,,,Noah Webster MicroSociety Magnet,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,160,68,92,Pathways Academy of Technology and Design,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,10,18,6,12,Pathways Academy of Technology and Design,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,,,,Pathways Academy of Technology and Design,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,PK4,66,25,41,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,28,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,10,,10,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,6,,6,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,9,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,4,12,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,5,21,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,30,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,7,18,,18,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,22,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,35,10,25,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,IO,6,,6,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,,,,R.J. Kinsella Magnet School of the Performing Arts,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,123,53,70,Sport and Medical Sciences Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,RPS,,7,12,,12,Sport and Medical Sciences Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,15,,,Sport and Medical Sciences Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,87,15,72,Sport and Medical Sciences Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,IO,52,11,41,Sport and Medical Sciences Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,11,39,11,28,Sport and Medical Sciences Academy,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,K,49,27,22,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,1,IO,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,2,,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,3,7,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,RPS,,4,,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,6,,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,RPS,,7,,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,8,8,,,STEM Magnet at Annie Fisher,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,9,183,97,86,University High School of Science and Engineering,
CLEANED - Offers By School By Grade 2017-18.xlsx#Table 1,HPS,,10,17,7,IO,University High School of Science and Engineering,
